Date,population,Gold price,Oil price,S&P index,GNI,Inflation,Realestate index,IT index
3/1/2007,300.29,654.9,54.95,1406.95,14384.925,2.8,334.14,2421.64
4/1/2007,300.51,679.37,58.2,1463.64,14572.566,2.6,334.29,2525.09
5/1/2007,300.73,667.31,58.9,1511.14,14572.566,2.7,334.04,2604.52
6/1/2007,300.97,655.66,62.35,1514.19,14572.566,2.7,302.56,2603.23
7/1/2007,301.23,665.38,69.23,1520.71,14582.761,2.4,276.52,2545.57
8/1/2007,301.5,665.41,67.77,1454.62,14582.761,2,288.36,2596.36
9/1/2007,301.77,712.65,73.27,1497.12,14582.761,2.8,299.35,2701.5
10/1/2007,302.03,754.6,79.32,1539.66,14690.126,3.5,300.46,2859.12
11/1/2007,302.29,806.25,87.16,1463.39,14690.126,4.3,272.88,2660.96
12/1/2007,302.53,803.2,85.28,1479.22,14690.126,4.1,257.45,2652.28
1/1/2008,302.75,889.6,87.06,1378.76,14724.889,4.3,255.58,2389.86
2/1/2008,302.97,922.3,89.41,1354.87,14724.889,4,244.57,2271.48
3/1/2008,303.19,968.43,98.44,1316.94,14724.889,4,253.51,2279.1
4/1/2008,303.38,909.71,106.64,1370.47,14775.407,3.9,268.49,2412.8
5/1/2008,303.62,888.66,118.55,1403.22,14775.407,4.2,269.75,2522.66
6/1/2008,303.85,889.49,127.47,1341.25,14775.407,5,237.14,2292.98
7/1/2008,304.09,939.77,128.08,1257.33,14887.736,5.6,241.83,2325.55
8/1/2008,304.36,839.03,112.83,1281.47,14887.736,5.4,245.95,2367.52
9/1/2008,304.61,829.93,98.5,1216.95,14887.736,4.9,241.88,2091.88
10/1/2008,304.86,806.62,73.18,968.8,14507.475,3.7,165.47,1720.95
11/1/2008,305.09,760.86,53.67,883.04,14507.475,1.1,126.9,1535.57
12/1/2008,305.3,816.09,36.8,877.56,14507.475,0.1,145.63,1577.03
1/1/2009,305.52,858.69,35,865.58,14283.233,0,121.12,1476.42
2/1/2009,305.71,943,34.14,805.23,14283.233,0.2,96.52,1377.84
3/1/2009,305.92,924.27,42.45,757.13,14283.233,-0.4,99.77,1528.59
4/1/2009,306.11,890.2,45.19,848.15,14311.119,-0.7,129.02,1717.3
5/1/2009,306.32,928.65,52.67,902.41,14311.119,-1.3,130.84,1774.33
6/1/2009,306.54,945.67,63.09,926.12,14311.119,-1.4,126.77,1835.04
7/1/2009,306.77,934.23,60.44,935.82,14446.067,-2.1,139.86,1978.5
8/1/2009,307.01,949.38,65.28,1009.73,14446.067,-1.5,157.37,2009.06
9/1/2009,307.27,996.59,65.28,1044.55,14446.067,-1.3,166.24,2122.42
10/1/2009,307.52,1043.16,69.82,1067.66,14705.939,-0.2,157.39,2045.11
11/1/2009,307.76,1127.04,71.99,1088.07,14705.939,1.8,168.24,2144.6
12/1/2009,307.95,1134.72,70.42,1110.38,14705.939,2.7,178.62,2269.15
1/1/2010,308.17,1117.96,72.87,1123.58,14856.792,2.6,168.83,2147.35
2/1/2010,308.38,1095.41,72.74,1089.16,14856.792,2.1,177.64,2238.26
3/1/2010,308.57,1113.34,75.77,1152.05,14856.792,2.3,193.37,2397.96
4/1/2010,308.76,1148.69,78.8,1197.32,15072.552,2.2,205.39,2461.19
5/1/2010,308.94,1205.43,70.91,1125.06,15072.552,2,193.49,2257.04
6/1/2010,309.12,1232.92,70.77,1083.36,15072.552,1.1,183,2109.24
7/1/2010,309.32,1192.97,71.37,1079.8,15334.28,1.2,200.28,2254.7
8/1/2010,309.54,1215.81,72.07,1087.28,15334.28,1.1,197.11,2114.03
9/1/2010,309.76,1270.98,71.23,1122.08,15334.28,1.1,205.17,2368.62
10/1/2010,309.99,1342.02,76.02,1171.58,15477.019,1.2,212.96,2507.41
11/1/2010,310.17,1369.89,79.2,1198.89,15477.019,1.1,208.73,2498.23
12/1/2010,310.35,1390.55,83.98,1241.53,15477.019,1.5,217.04,2652.87
1/1/2011,310.54,1360.46,85.66,1282.62,15581.835,1.6,224.87,2700.08
2/1/2011,310.69,1374.68,86.69,1321.12,15581.835,2.1,234.4,2782.27
3/1/2011,310.83,1423.26,99.19,1304.49,15581.835,2.7,230.41,2781.07
4/1/2011,311.01,1480.89,108.8,1331.51,15795.554,3.2,240.99,2873.54
5/1/2011,311.18,1512.58,102.46,1338.31,15795.554,3.6,242.53,2835.3
6/1/2011,311.35,1529.36,97.3,1287.29,15795.554,3.6,234.2,2773.52
7/1/2011,311.56,1572.75,97.82,1325.19,15946.101,3.6,234.09,2756.38
8/1/2011,311.76,1759.01,89,1185.31,15946.101,3.8,221.13,2579.46
9/1/2011,312,1772.14,90.22,1173.88,15946.101,3.9,196.07,2415.4
10/1/2011,312.21,1666.43,92.28,1207.22,16124.324,3.5,222.27,2684.41
11/1/2011,312.4,1739,100.18,1226.42,16124.324,3.4,213.27,2620.34
12/1/2011,312.59,1639.97,98.71,1243.32,16124.324,3,220.4,2605.15
1/1/2012,312.79,1654.05,98.99,1300.58,16521.012,2.9,234.87,2813.84
2/1/2012,312.93,1744.82,102.04,1352.49,16521.012,2.9,232.67,2966.89
3/1/2012,313.11,1675.95,105.42,1389.24,16521.012,2.7,241.78,3091.57
4/1/2012,313.28,1649.2,103.62,1386.43,16607.76,2.3,247.7,3046.36
5/1/2012,313.45,1589.04,95.57,1341.27,16607.76,1.7,236.66,2827.34
6/1/2012,313.63,1598.76,83.59,1323.48,16607.76,1.7,248.4,2935.05
7/1/2012,313.83,1594.29,86.1,1359.78,16558.502,1.4,253.53,2939.52
8/1/2012,314.05,1630.31,92.53,1403.45,16558.502,1.7,253.3,3066.96
9/1/2012,314.28,1744.81,95.98,1443.42,16558.502,2,249.34,3116.23
10/1/2012,314.5,1746.58,92.24,1437.82,16873.962,2.2,247.77,2977.23
11/1/2012,314.7,1721.64,89.64,1394.51,16873.962,1.8,245.62,3010.24
12/1/2012,314.87,1684.76,89.81,1422.29,16873.962,1.7,251.5,3019.51
1/1/2013,315.04,1671.85,95,1480.4,16927.367,1.6,261.09,3142.13
2/1/2013,315.16,1627.57,95.01,1512.31,16927.367,2,263.68,3160.19
3/1/2013,315.3,1593.09,95.54,1550.83,16927.367,1.5,270.11,3267.52
4/1/2013,315.46,1487.86,94.41,1570.7,17077.786,1.1,285.18,3328.79
5/1/2013,315.61,1414.03,94.75,1639.84,17077.786,1.4,266.11,3455.91
6/1/2013,315.81,1343.35,93.82,1618.77,17077.786,1.8,258.56,3403.25
7/1/2013,315.99,1285.52,101.41,1668.68,17187.404,2,259.09,3626.37
8/1/2013,316.2,1351.74,102.96,1670.09,17187.404,1.5,242.04,3589.87
9/1/2013,316.43,1348.6,102.32,1687.17,17187.404,1.2,248.62,3771.48
10/1/2013,316.66,1316.58,96.18,1720.03,17370.278,1,257.67,3919.71
11/1/2013,316.88,1275.86,88.7,1783.54,17370.278,1.2,244.93,4059.89
12/1/2013,317.06,1221.51,91.85,1807.78,17370.278,1.5,245.72,4176.59
1/1/2014,317.24,1244.27,89.57,1822.36,17550.819,1.6,254.34,4103.88
2/1/2014,317.41,1299.58,96.86,1817.04,17550.819,1.1,265.66,4308.12
3/1/2014,317.56,1336.08,96.17,1863.52,17550.819,1.5,264.62,4198.99
4/1/2014,317.73,1298.45,96.49,1864.26,17881.14,2,272.1,4114.56
5/1/2014,317.91,1288.74,95.74,1889.77,17881.14,2.1,279.02,4242.62
6/1/2014,318.11,1279.1,98.68,1947.09,17881.14,2.1,280.54,4408.18
7/1/2014,318.3,1310.59,96.7,1973.1,18180.91,2,279.79,4369.77
8/1/2014,318.54,1295.13,90.72,1961.53,18180.91,1.7,288.72,4580.27
9/1/2014,318.77,1236.55,86.87,1993.23,18180.91,1.7,270.39,4493.39
10/1/2014,319.01,1222.49,78.84,1937.27,18324.078,1.7,292.92,4630.74
11/1/2014,319.22,1175.33,71.07,2044.57,18324.078,1.3,300,4791.63
12/1/2014,319.41,1200.62,54.86,2054.27,18324.078,0.8,300.6,4736.05
1/1/2015,319.59,1250.75,43.06,2028.18,18435.684,-0.1,317.41,4635.24
2/1/2015,319.73,1227.08,44.35,2082.2,18435.684,0,308.89,4963.53
3/1/2015,319.89,1178.63,42.66,2079.99,18435.684,-0.1,310.74,4900.88
4/1/2015,320.06,1198.93,49.3,2094.86,18593.053,-0.2,295.33,4941.42
5/1/2015,320.24,1198.63,54.38,2111.94,18593.053,0,293.95,5070.02
6/1/2015,320.43,1181.5,55.88,2099.29,18593.053,0.1,279.76,4986.87
7/1/2015,320.64,1128.31,47.7,2094.14,18673.956,0.2,292.92,5128.28
8/1/2015,320.86,1117.93,39.98,2039.87,18673.956,0.2,275.43,4776.51
9/1/2015,321.08,1124.77,41.6,1944.41,18673.956,0,278.15,4620.16
10/1/2015,321.31,1159.25,42.34,2024.81,18729.858,0.2,295.16,5053.75
11/1/2015,321.5,1086.44,38.19,2080.62,18729.858,0.5,293.78,5108.67
12/1/2015,321.71,1075.74,32.26,2054.08,18729.858,0.7,295.06,5007.41
1/1/2016,321.86,1097.91,27.02,1918.6,18806.704,1.4,282.85,4613.95
2/1/2016,322.04,1199.5,25.52,1904.42,18806.704,1,280.14,4557.95
3/1/2016,322.2,1245.14,31.87,2021.95,18806.704,0.9,307.21,4869.85
4/1/2016,322.37,1242.26,35.59,2075.54,18846.161,1.1,301.55,4775.36
5/1/2016,322.55,1260.95,41.02,2065.55,18846.161,1,307.91,4948.06
6/1/2016,322.73,1276.4,43.96,2083.89,18846.161,1,324.84,4842.67
7/1/2016,322.94,1336.66,40.71,2148.9,19020.698,0.8,336.63,5162.13
8/1/2016,323.14,1340.17,40.46,2170.95,19020.698,1.1,324.67,5213.22
9/1/2016,323.35,1326.61,40.55,2157.69,19020.698,1.5,318.03,5312
10/1/2016,323.56,1266.55,45,2143.02,19259.911,1.6,301.88,5189.14
11/1/2016,323.74,1238.35,41.65,2164.99,19259.911,1.7,294.53,5323.68
12/1/2016,323.91,1157.36,47.12,2246.63,19259.911,2.1,304.84,5383.12
1/1/2017,324.08,1192.1,48.19,2275.12,19509.288,2.5,305.2,5614.79
2/1/2017,324.21,1234.2,49.41,2329.91,19509.288,2.7,317.97,5825.44
3/1/2017,324.34,1231.42,46.39,2366.82,19509.288,2.4,311.62,5911.74
4/1/2017,324.48,1266.88,47.23,2359.31,19670.091,2.2,312.92,6047.61
5/1/2017,324.64,1246.04,45.19,2395.35,19670.091,1.9,312.17,6198.52
6/1/2017,324.8,1260.26,42.17,2433.99,19670.091,1.6,316.44,6140.42
7/1/2017,324.99,1236.84,43.42,2454.1,19910.082,1.7,319.89,6348.12
8/1/2017,325.16,1283.04,44.96,2456.22,19910.082,1.9,321.38,6428.66
9/1/2017,325.34,1314.07,47.17,2492.84,19910.082,2.2,316.91,6495.96
10/1/2017,325.51,1279.51,49.12,2557,20259.139,2,316.76,6727.67
11/1/2017,325.66,1281.9,55.19,2593.61,20259.139,2.2,324.12,6873.97
12/1/2017,325.8,1264.45,56.98,2664.34,20259.139,2.1,321.69,6903.39
1/1/2018,325.93,1331.3,62.25,2789.8,20519.779,2.1,312.15,7411.48
2/1/2018,326.03,1330.73,61.18,2705.16,20519.779,2.2,290.68,7273.01
3/1/2018,326.14,1324.66,60.68,2702.77,20519.779,2.4,299.62,7063.44
4/1/2018,326.26,1334.76,63.5,2653.63,20773.671,2.5,299.87,7066.27
5/1/2018,326.39,1303.45,66.16,2701.49,20773.671,2.8,309.06,7442.12
6/1/2018,326.53,1281.57,62.8,2754.35,20773.671,2.9,319.48,7510.3
7/1/2018,326.69,1237.71,67,2793.64,21029.08,2.9,321.91,7671.79
8/1/2018,326.85,1201.71,62.64,2857.82,21029.08,2.7,328.87,8109.54
9/1/2018,327.01,1198.39,63.54,2901.5,21029.08,2.3,318.33,8046.35
10/1/2018,327.17,1215.39,65.18,2785.46,21211.006,2.5,309.24,7305.9
11/1/2018,327.31,1220.65,55.65,2723.23,21211.006,2.2,323,7330.54
12/1/2018,327.43,1250.4,47.63,2567.31,21211.006,1.9,295.97,6635.28
1/1/2019,327.54,1291.75,48,2607.39,21492.264,1.6,329.45,7281.74
2/1/2019,327.64,1320.07,52.6,2754.86,21492.264,1.5,331.42,7532.53
3/1/2019,327.73,1300.9,57.46,2803.98,21492.264,1.9,343.33,7729.32
4/1/2019,327.84,1285.91,63,2903.8,21646.003,2,342.66,8095.39
5/1/2019,327.96,1283.7,59.73,2854.71,21646.003,1.8,341.92,7453.15
6/1/2019,328.1,1359.04,54.34,2890.17,21646.003,1.6,346.08,8006.24
7/1/2019,328.24,1412.89,56.47,2996.11,21841.383,1.8,351.98,8175.42
8/1/2019,328.41,1500.41,53.63,2897.5,21841.383,1.7,363.42,7962.88
9/1/2019,328.58,1510.58,55.14,2982.16,21841.383,1.7,368.02,7999.33
10/1/2019,328.74,1494.81,53.14,2977.68,22063.734,1.8,370.72,8292.36
11/1/2019,328.89,1470.79,54.96,3104.9,22063.734,2.1,366.19,8665.47
12/1/2019,329.02,1479.13,58.41,3176.75,22063.734,2.3,367.38,8972.6
1/1/2020,329.14,1560.67,56.55,3278.2,22041.898,2.5,372.57,9150.94
2/1/2020,329.24,1597.1,49.66,3277.31,22041.898,2.3,346.06,8567.37
3/1/2020,329.34,1591.93,31.01,2652.39,22041.898,1.5,275.16,7700.1
4/1/2020,331.45,1683.17,15.18,2761.98,19979.435,0.3,299.62,8889.55
5/1/2020,331.43,1715.91,18.02,2919.61,19979.435,0.1,304.82,9489.87
6/1/2020,331.45,1732.22,33.81,3104.66,19979.435,0.6,310.65,10058.76
7/1/2020,331.51,1846.51,37.44,3207.62,21498.004,1,323.24,10745.27
8/1/2020,331.59,1968.63,39.37,3391.71,21498.004,1.3,323.53,11775.46
9/1/2020,331.66,1921.92,36.82,3365.52,21498.004,1.4,314.37,11167.68
10/1/2020,331.75,1900.27,36.39,3418.7,22399.015,1.2,304.78,10911.59
11/1/2020,331.81,1866.3,38.25,3548.99,22399.015,1.2,329.4,12198.74
12/1/2020,331.82,1858.42,43.92,3695.31,22399.015,1.4,335.7,12888.28
1/1/2021,331.78,1866.98,49.47,3793.75,22902.959,1.4,334.49,13070.69
2/1/2021,331.72,1808.17,56.44,3883.43,22902.959,1.7,341.47,13192.35
3/1/2021,331.73,1718.23,60.43,3910.51,22902.959,2.6,359.01,13246.87
4/1/2021,331.79,1760.04,59.87,4141.18,23449.659,4.2,387.37,13962.68
5/1/2021,331.86,1850.26,62.8,4167.85,23449.659,5,390.87,13748.74
6/1/2021,331.93,1834.57,68.58,4238.49,23449.659,5.4,397.98,14503.95
7/1/2021,332.03,1807.84,70.12,4363.71,23993.883,5.4,416.28,14672.68
8/1/2021,332.18,1785.28,65.68,4454.21,23993.883,5.3,424.54,15259.24
9/1/2021,332.29,1775.14,69.09,4445.54,23993.883,5.4,398.58,14448.58
10/1/2021,332.39,1776.85,78.51,4460.71,24785.649,6.2,426.51,15498.39
11/1/2021,332.49,1821.76,76.45,4667.39,24785.649,6.8,416.38,15537.69
12/1/2021,332.59,1790.43,70.56,4674.77,24785.649,7,453.47,15644.97
1/1/2022,332.66,1816.02,80.33,4573.82,25290.649,7.5,416.27,14239.88
2/1/2022,332.67,1856.3,89.41,4435.98,25290.649,7.9,396.83,13751.4
3/1/2022,332.74,1947.83,107.07,4391.27,25290.649,8.5,420.81,14220.52
4/1/2022,332.87,1936.86,103.34,4391.3,25897.786,8.3,403.64,12334.64
5/1/2022,333,1848.5,108.29,4040.36,25897.786,8.6,385.6,12081.39
6/1/2022,333.13,1836.57,113.77,3898.95,25897.786,9.1,356.8,11028.74
7/1/2022,333.29,1732.74,100.84,3911.73,26340.92,8.5,388.12,12390.69
8/1/2022,333.46,1764.56,93.76,4158.56,26340.92,8.3,365.28,11816.2
9/1/2022,333.64,1680.78,84.62,3850.52,26340.92,8.2,317.01,10575.62
10/1/2022,333.81,1664.45,86.61,3726.05,26383.752,7.7,326.46,10988.15
11/1/2022,333.97,1725.07,84.43,3917.49,26383.752,7.1,346.51,11468
12/1/2022,334.11,1797.55,76.45,3912.38,26383.752,6.5,327.76,10466.48
1/1/2023,334.23,1897.71,75.71,3960.66,26644.353,6.4,360.2,11584.55
2/1/2023,334.33,1854.54,74.32,4079.68,26644.353,6,338.1,11455.54
3/1/2023,334.44,1912.73,72.09,3968.56,26644.353,5,329.7,12221.91
4/1/2023,334.57,1999.77,77.22,4121.47,26798.82,4.9,332.15,12226.58
5/1/2023,334.69,1992.13,70.14,4146.17,26798.82,4,318.38,12935.28
6/1/2023,334.83,1942.9,68.58,4345.37,26798.82,3,334.21,13787.92
7/1/2023,334.99,1951.02,74.05,4508.08,27133.712,3.2,339.81,14346.02
8/1/2023,335.16,1918.7,79.78,4426.24,27133.712,3.7,328.75,14034.97
9/1/2023,335.34,1915.95,87.96,4409.1,27133.712,3.7,302.72,13219.32
10/1/2023,335.51,1916.25,84.65,4258.98,27562.786,3.2,291.38,12851.24
11/1/2023,335.66,1984.11,77.45,4460.06,27562.786,3.1,326.66,14226.22
12/1/2023,335.8,2026.18,71,4685.05,27562.786,3.4,353.42,15011.35
